,BEGINNING_RAIN,END_RAIN,BASIN
0,2001-03-28 14:00:00,2001-03-30 14:00:00,neimenggu_20205510
1,2001-06-18 06:00:00,2001-06-22 20:00:00,neimenggu_20205510
2,2002-03-04 08:00:00,2002-03-05 20:00:00,neimenggu_20205510
3,2002-03-14 14:00:00,2002-03-17 20:00:00,neimenggu_20205510
4,2002-03-28 08:00:00,2002-03-30 08:00:00,neimenggu_20205510
5,2002-06-24 18:00:00,2002-07-21 17:00:00,neimenggu_20205510
6,2002-08-03 08:00:00,2002-08-04 04:00:00,neimenggu_20205510
7,2003-03-19 00:00:00,2003-03-21 05:00:00,neimenggu_20205510
8,2003-03-23 00:00:00,2003-03-23 14:00:00,neimenggu_20205510
9,2003-04-06 07:00:00,2003-04-09 00:00:00,neimenggu_20205510
10,2004-03-22 08:00:00,2004-03-23 14:00:00,neimenggu_20205510
11,2004-08-16 02:00:00,2004-08-16 08:00:00,neimenggu_20205510
12,2005-03-23 08:00:00,2005-03-23 23:00:00,neimenggu_20205510
13,2005-07-09 11:00:00,2005-07-09 22:00:00,neimenggu_20205510
14,2005-07-11 08:00:00,2005-07-12 18:00:00,neimenggu_20205510
15,2005-07-22 16:00:00,2005-07-23 20:00:00,neimenggu_20205510
16,2005-07-24 09:00:00,2005-07-24 16:00:00,neimenggu_20205510
17,2005-08-01 06:00:00,2005-08-02 15:00:00,neimenggu_20205510
18,2006-03-31 07:00:00,2006-04-01 14:00:00,neimenggu_20205510
19,2006-04-06 08:00:00,2006-04-07 14:00:00,neimenggu_20205510
20,2006-04-14 07:00:00,2006-06-30 17:00:00,neimenggu_20205510
21,2006-07-04 07:00:00,2006-07-06 14:00:00,neimenggu_20205510
22,2007-03-18 20:00:00,2007-03-21 09:00:00,neimenggu_20205510
23,2007-03-23 06:00:00,2007-03-23 14:00:00,neimenggu_20205510
24,2007-03-29 07:00:00,2007-03-31 08:00:00,neimenggu_20205510
25,2007-04-10 14:00:00,2007-04-10 20:00:00,neimenggu_20205510
26,2007-04-12 08:00:00,2007-07-18 16:00:00,neimenggu_20205510
27,2008-03-20 14:00:00,2008-03-22 18:00:00,neimenggu_20205510
28,2008-03-24 08:00:00,2008-04-01 20:00:00,neimenggu_20205510
29,2008-04-10 08:00:00,2008-06-28 19:00:00,neimenggu_20205510
30,2008-06-29 05:00:00,2008-07-02 20:00:00,neimenggu_20205510
31,2008-07-04 23:00:00,2008-07-05 15:00:00,neimenggu_20205510
32,2009-03-20 16:00:00,2009-03-21 09:00:00,neimenggu_20205510
33,2009-03-27 16:00:00,2009-03-31 20:00:00,neimenggu_20205510
34,2009-06-10 15:00:00,2009-06-11 08:00:00,neimenggu_20205510
35,2010-03-30 19:00:00,2010-03-31 05:00:00,neimenggu_20205510
36,2013-03-12 08:00:00,2013-03-12 14:00:00,neimenggu_20205510
37,2013-03-17 14:00:00,2013-03-20 00:00:00,neimenggu_20205510
38,2013-03-26 14:00:00,2013-03-27 09:00:00,neimenggu_20205510
39,2013-03-29 17:00:00,2013-03-31 17:00:00,neimenggu_20205510
40,2013-06-27 11:00:00,2013-06-27 17:00:00,neimenggu_20205510
41,2013-06-28 14:00:00,2013-06-29 00:00:00,neimenggu_20205510
42,2013-06-30 07:00:00,2013-07-03 02:00:00,neimenggu_20205510
43,2013-07-07 08:00:00,2013-07-12 23:00:00,neimenggu_20205510
44,2013-07-18 08:00:00,2013-07-19 20:00:00,neimenggu_20205510
45,2013-07-23 08:00:00,2013-07-23 20:00:00,neimenggu_20205510
46,2014-03-28 00:00:00,2014-03-29 02:00:00,neimenggu_20205510
47,2014-03-31 08:00:00,2014-06-13 22:00:00,neimenggu_20205510
48,2014-06-16 00:00:00,2014-06-19 14:00:00,neimenggu_20205510
49,2015-03-16 12:00:00,2015-03-17 04:00:00,neimenggu_20205510
50,2015-03-29 20:00:00,2015-03-31 08:00:00,neimenggu_20205510
51,2015-04-02 04:00:00,2015-04-03 08:00:00,neimenggu_20205510
52,2015-04-03 20:00:00,2015-04-05 00:00:00,neimenggu_20205510
53,2016-07-28 05:00:00,2016-08-01 20:00:00,neimenggu_20205510
54,2017-08-08 08:00:00,2017-08-09 02:00:00,neimenggu_20205510
55,2017-08-20 12:00:00,2017-08-21 00:00:00,neimenggu_20205510
56,2020-07-06 10:00:00,2020-07-06 18:00:00,neimenggu_20205510
