name,basin_id,basin_area
丰镇（饮三）,neimenggu_30704390,33.19315084
新井,neimenggu_20115700,2278.330549
杨树湾子（三）,neimenggu_20114200,81.43852579
哈拉道口,neimenggu_20116590,5703.514928
台河口（西五）,neimenggu_20205510,2341.733645
万合永,neimenggu_20208000,5374.964692
梅林庙（二）,neimenggu_20308000,887.0615005
白音他拉,neimenggu_20310500,12389.25439
文得根,neimenggu_11300301,1000.865057
东园（四）,neimenggu_40515500,440.211515
美岱（大二）,neimenggu_40516200,58.23118654
店上村（三）,neimenggu_40517100,1383.231343
活福滩（二）,neimenggu_1717100,1332.856413
百灵庙（四）,neimenggu_1718900,1333.321466
索伦,neimenggu_11420050,995.2732966
锦山（三）,neimenggu_20113001,673.7204632
乌丹（四）,neimenggu_20213000,27253.42109
塔尔湾（二）,neimenggu_40514300,938.2772916
红山口（三）,neimenggu_40516800,61.74119509
转龙湾,neimenggu_40701050,96.4394109
霍林河,NM000001,11249.86
洮儿河,NM000002,21326.7
济沁河,NM000003,2883.753
音河,NM000004,1139.253
绰尔河,NM000005,15808.95
阿木牛河,NM000006,7857.77
阿伦河,NM000007,4480.896
诺敏河,NM000008,25503.03
甘河下游,NM000009,2170.577
甘河上游,NM000010,23259.88
窟野河,NM000011,1948.177
饮马河,NM000012,710.9044
水涧沟,NM000013,878.1111
红山口沟,NM000014,66.33244
水磨沟,NM000015,1334.936
霍林河,NM000016,2285.379
大黑河,NM000017,4286.983
乌兰花河,NM000018,83.38312
艾不盖河,NM000019,5915.969
锡伯河,NM000020,969.8517
召苏河,NM000021,1008.004
羊肠子河,NM000024,2224.621
百岔河,NM000025,1394.573
西拉木伦河,NM000026,26145.6
乌力吉木仁河,NM000027,16763.75
黑木林河,NM000028,5083.126

